t,x,x_dot,theta,theta_dot,u
0.422,0.165353,0.549579,0.033011,-0.271326,0.00456573
0.423,0.165903,0.549552,0.03274,-0.270626,0.00456573
0.424,0.166452,0.549525,0.0324697,-0.269932,0.00456573
0.425,0.167002,0.549498,0.0322001,-0.269243,0.00456573
0.426,0.167551,0.549471,0.0319312,-0.268561,0.00456573
0.427,0.168101,0.549444,0.031663,-0.267884,0.00456573
0.428,0.16865,0.549418,0.0313955,-0.267213,0.00456573
0.429,0.1692,0.549392,0.0311286,-0.266548,0.00456573
0.43,0.169749,0.549366,0.0308624,-0.265889,0.00456573
0.431,0.170298,0.549341,0.0305968,-0.265235,0.00456573
0.432,0.170848,0.549316,0.0303319,-0.264587,0.00456573
0.433,0.171397,0.549291,0.0300676,-0.263945,0.00456573
0.434,0.171946,0.549266,0.029804,-0.263308,0.00456573
0.435,0.172496,0.549242,0.029541,-0.262677,0.00456573
0.436,0.173045,0.549218,0.0292786,-0.262052,0.00456573
0.437,0.173594,0.549194,0.0290169,-0.261432,0.00456573
0.438,0.174143,0.54917,0.0287558,-0.260818,0.00456573
0.439,0.174692,0.549147,0.0284953,-0.26021,0.00456573
0.44,0.175241,0.549065,0.0282354,-0.25949,-0.0540803
0.441,0.175791,0.548983,0.0279763,-0.258776,-0.0540803
0.442,0.176339,0.548902,0.0277179,-0.258067,-0.0540803
